nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
LAURENT WELEPA,LAURENT WELEPA,Laurent WELEPA,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:13,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LAURIANE METZDORF,LAURIANE METZDORF,Lauriane METZDORF,Province Sud,Province Sud - 02 - RASSEMBLEMENT NATIONAL,Province Sud:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LECOURIEUX YOANN,YOANN LECOURIEUX,Yoann LECOURIEUX,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:10,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LEITITIA TEPAHAUAITAIPARI,LEITITIA TEPAHAUAITAIPARI,Leititia TEPAHAUAITAIPARI,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:48,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LEMAISTRE OLIVIER,OLIVIER LEMAISTRE,Olivier LEMAISTRE,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:03,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LEONE TOLUAFE,LEONE TOLUAFE,Leone TOLUAFE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:37,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LEONTINE SOUBRIER,LEONTINE SOUBRIER,Léontine SOUBRIER,Province Sud,Province Sud - 08 - ALLIANCE CITOYENNE POUR LA TRANSITION. CONSTRUIRE NOTRE PAYS EN MELANESIE - (ACT),Province Sud:45,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LIKUVALU MELISA TAKANIKO,MELISA LIKUVALU TAKANIKO,Melisa LIKUVALU née TAKANIKO,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:20,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LIKUVALU POLIKALEPO,POLIKALEPO LIKUVALU,Polikalepo LIKUVALU,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:39,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LILIANE TEINAURI,LILIANE TEINAURI,Liliane TEINAURI,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:40,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LIONEL PAAGALUA,LIONEL PAAGALUA,Lionel PAAGALUA,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:22,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LISIANE PEYROLLE,LISIANE PEYROLLE,Lisiane PEYROLLE,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:14,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LORENA OUIHYA TEIN,LORENA TEIN OUIHYA,Loréna TEIN-OUIHYA,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Province Nord:32,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOTAUT ULRICK,ULRICK LOTAUT,Ulrick LOTAUT,Province Sud,Province Sud - 10 - DESTIN COMMUN CALEDONIEN,Province Sud:41,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOUECKHOTE SIMON,SIMON LOUECKHOTE,Simon LOUECKHOTE,Province des Iles,Province des Iles - 04 - AVEC NOUS,Province des Iles:01,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOUIS MOINRIBURU,LOUIS MOINRIBURU,Louis MOINRIBURU,Province Nord,Province Nord - 02 - AGISSONS POUR LE NORD,Province Nord:23,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOUIS VUDINH,LOUIS VUDINH,Louis VUDINH,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:29,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOUISA WAETHEANE,LOUISA WAETHEANE,Louisa WAETHEANE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:34,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOUISE TETWANUI WAHETRA WALISAUNE,LOUISE WALISAUNE WAHETRA TETWANUI,Louise Walisaune WAHETRA ep TETWANUI,Province des Iles,Province des Iles - 08 - PALIKA ILES,Province des Iles:02,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LOUISE WAHNAWE,LOUISE WAHNAWE,Louise WAHNAWE,Province des Iles,Province des Iles - 01 - UNITAIRE KANAKY GENERATION,Province des Iles:08,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LUC TUHEIAVA,LUC TUHEIAVA,Luc TUHEIAVA,Province Sud,Province Sud - 03 - L’AVENIR EN CONFIANCE,Province Sud:48,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LUCAS MICHELE,MICHELE LUCAS,Michèle LUCAS,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:10,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LUCE MARIE NEMOADJOU,MARIE LUCE NEMOADJOU,Marie-Luce NEMOADJOU,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:32,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
