province;commune;num_bv;bv;inscrits;votants;abstention;nuls;blancs;exprimes;oui;non
Province des Iles;Lifou;19;Traput;269;168;101;3;0;165;131;34
Province des Iles;Lifou;20;Kedeigne;327;228;99;1;1;226;199;27
Province des Iles;Lifou;21;Tingeting;235;132;103;0;2;130;98;32
Province des Iles;Lifou;23;Luengoni;241;195;46;1;1;193;170;23
Province des Iles;Lifou;28;Lieu de vote délocalisé n°2 de Lifou à Nouméa;599;554;45;4;1;549;483;66
Province des Iles;Lifou;29;Lieu de vote délocalisé n°3;579;537;42;3;0;534;471;63
Province des Iles;Maré;2;Hnawayatche;521;277;244;3;0;274;160;114
Province des Iles;Maré;3;Tenane;290;186;104;0;0;186;144;42
Province des Iles;Maré;5;Tawainedre;353;238;115;2;2;234;197;37
Province des Iles;Maré;6;Penelo;567;402;165;2;0;400;345;55
Province des Iles;Maré;7;Wabao;488;333;155;0;0;333;261;72
Province des Iles;Maré;9;Ménaku;217;131;86;3;0;128;86;42
Province des Iles;Maré;11;Roh;234;140;94;1;0;139;81;58
Province Sud;Moindou;1;Mairie;789;734;55;9;7;718;331;387
Province Sud;Mont-Dore;2;Groupe scolaire Hélène CHANIEL;489;420;69;4;2;414;54;360
Province Sud;Mont-Dore;5;École La Rizière 1;1069;905;164;4;6;895;800;95
Province Sud;Mont-Dore;8;Groupe scolaire de Boulari 1;821;727;94;4;10;713;100;613
Province Sud;Mont-Dore;18;Groupe scolaire de Boulari 3;812;697;115;0;3;694;115;579
